run_accession,study_accession,NCBI BioSample Accession,tax_id,scientific_name,submitted_ftp,Study ID,Food Microbe Tracker IDb,Farm ID,Isolation Sourcec,Isolation Date (MM/DD/YY),NCBI Sequence Read Archive (SRA) Accession,Pulsed Field Gel Electrophoresis (PFGE) Type Number,Traditional Laboratory-Assigned Serotype,SeqSero2 Predicted Serotype,SISTR Serotype (Antigen),SISTR Serotype (cgMLST),WGS Phylogeny Serotype Clusterd,Used as a Reference for Within-Serotype SNP Calling (Serotype)e,Amikacin MIC,Amikacin  NARMS Breakpoint,Amikacin SIR,Amoxicillin/Clavulanic Acid MIC,Amoxicillin/Clavulanic Acid  NARMS Breakpoint,Amoxicillin/Clavulanic Acid SIR,Ampicillin MIC,Ampicillin  NARMS Breakpoint,Ampicillin SIR,Cefoxitin MIC,Cefoxitin  NARMS Breakpoint,Cefoxitin SIR,Ceftiofur MIC,Ceftiofur  NARMS Breakpoint,Ceftiofur SIR,Ceftriaxone MIC,Ceftriaxone  NARMS Breakpoint,Ceftriaxone SIR,Chloramphenicol MIC,Chloramphenicol  NARMS Breakpoint,Chloramphenicol SIR,Ciprofloxacin MIC,Ciprofloxacin  NARMS Breakpoint,Ciprofloxacin SIR,Gentamicin MIC,Gentamicin  NARMS Breakpoint,Gentamicin SIR,Kanamycin MIC,Kanamycin  NARMS Breakpoint,Kanamycin SIR,Nalidixic Acid MIC,Nalidixic Acid  NARMS Breakpoint,Nalidixic Acid SIR,Streptomycin MIC,Streptomycin  NARMS Breakpoint,Streptomycin SIR,Sulfamethoxazole/Trimethoprim MIC,Sulfamethoxazole/Trimethoprim  NARMS Breakpoint,Sulfamethoxazole/Trimethoprim SIR,Sulfisoxazole MICf,Sulfisoxazole  NARMS Breakpointf,Sulfisoxazole SIRf,Tetracycline MIC,Tetracycline  NARMS Breakpoint,Tetracycline SIR,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,Marker lineage,Completeness,Contamination
SRR15539751,PRJNA756552,SAMN20884448,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_42_08-19-08_R8-2009,FSL R8-2009,42,Farm environment,19/08/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.25,2;4,S,32,256;512,S,4,4;8;16,S,77,54,41,37,34,27,4730528,4722845,4693144,4659489,4610957,4361818,77,435833,4730528,52.13,197784,102680,9,17,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539752,PRJNA756552,SAMN20884447,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,ENV_TYPH_25_07-01-08_R8-1621,FSL R8-1621,25,Farm environment,01/07/2008,NA,CU-1034,Typhimurium,Typhimurium O5- (Typhimurium Copenhagen),Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),2,16;32;64,S,8,8;16;32,S,32,8;16;32,R,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,64,16;32;64,R,2,16;32,S,64,32;64,R,0.25,2;4,S,256,256;512,R,32,4;8;16,R,114,75,56,45,32,25,5143978,5126580,5083563,5015595,4793917,4566494,114,659231,5143978,52.15,225890,91624,7,16,0,f__Enterobacteriaceae (UID5139),100,0.22
SRR15539753,PRJNA756552,SAMN20884446,58712,Salmonella enterica subsp. enterica serovar Anatum,NA,ENV_ANAT_56_03-25-09_R8-3652,FSL R8-3652,56,Farm environment,25/03/2009,NA,CU-430,Anatum* (Not serotyped),Anatum,Anatum|Hayindogo,Anatum,Anatum,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,16,8;16;32,I,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,64,32;64,R,0.12,2;4,S,32,256;512,S,4,4;8;16,S,85,52,46,45,38,27,4747833,4737132,4723653,4716239,4612461,4210147,85,363494,4747833,52.16,169676,112241,10,19,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539754,PRJNA756552,SAMN20884445,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_14_08-30-08_R8-2016,FSL R8-2016,14,Farm environment,30/08/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,75,46,35,32,31,22,4730636,4721684,4698399,4674135,4659078,4331127,75,633647,4730636,52.13,247827,104363,7,14,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539755,PRJNA756552,SAMN20884444,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_19_03-13-08_R8-0817,FSL R8-0817,19,Farm environment,13/03/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,64,256;512,S,4,4;8;16,S,114,79,62,57,47,32,4731367,4714908,4678093,4641962,4463794,3911624,114,328665,4731367,52.11,107740,71287,14,27,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539756,PRJNA756552,SAMN20884443,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_19_01-16-08_R8-0168,FSL R8-0168,19,Farm environment,16/01/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.25,2;4,S,64,256;512,S,4,4;8;16,S,65,42,32,31,28,22,4729772,4720892,4700881,4695577,4647374,4439758,65,642644,4729772,52.13,244893,127281,6,12,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539757,PRJNA756552,SAMN20884442,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,BOV_TYPH_22_01-18-08_R8-0271,FSL R8-0271,22,Bovine,18/01/2008,NA,CU-71,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),8,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,1.5,16;32;64,S,4,16;32,S,8,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,65,44,36,34,28,22,4746811,4738624,4723662,4711991,4607763,4368845,65,719839,4746811,52.19,275470,149909,6,12,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539758,PRJNA756552,SAMN20884441,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_42_09-17-08_R8-2236,FSL R8-2236,42,Farm environment,17/09/2008,NA,CU-96,Kentucky* (Untypeable),Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,1,16;32;64,S,2,16;32,S,8,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,83,58,45,41,36,28,4732305,4722032,4688377,4656462,4568857,4322481,83,484622,4732305,52.13,206362,89035,8,18,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539759,PRJNA756552,SAMN20884440,58712,Salmonella enterica subsp. enterica serovar Anatum,NA,BOV_ANAT_39_02-21-08_R8-0847,FSL R8-0847,39,Bovine,21/02/2008,NA,CU-423,Anatum var. 15+,Anatum,Anatum|Hayindogo,Anatum,Anatum,No (Not Applicable),2,16;32;64,S,2,8;16;32,S,32,8;16;32,R,8,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.25,2;4,S,32,256;512,S,4,4;8;16,S,155,120,94,82,60,37,4727324,4710969,4640953,4553338,4139993,3352884,155,173900,4727324,52.16,77579,40951,21,42,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539760,PRJNA756552,SAMN20884404,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,BOV_TYPH_25_11-20-07_R6-0983,FSL R6-0983,25,Bovine,20/11/2007,NA,CU-67,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),1,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,16,1;2;4,R,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.25,2;4,S,16,256;512,S,4,4;8;16,S,139,114,93,86,59,30,4957018,4947356,4902357,4858524,4408186,3339456,139,199545,4957018,52.05,81813,42364,18,39,0,f__Enterobacteriaceae (UID5139),100,0.07
SRR15539761,PRJNA756552,SAMN20884439,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,ENV_TYPH_22_12-17-07_R8-0171,FSL R8-0171,22,Farm environment,17/12/2007,NA,CU-71,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,97,72,64,57,42,30,4747363,4737653,4724028,4674760,4411504,3935942,97,429565,4747363,52.18,145263,65211,11,24,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539762,PRJNA756552,SAMN20884438,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_17_07-27-08_R8-1641,FSL R8-1641,17,Farm environment,27/07/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),4,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,64,256;512,S,4,4;8;16,S,132,102,80,70,53,33,4728915,4717570,4666467,4587949,4285135,3596652,132,278825,4728915,52.13,97906,51446,16,33,0,f__Enterobacteriaceae (UID5139),99.94,0.33
SRR15539763,PRJNA756552,SAMN20884437,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,BOV_TYPH_22_03-14-08_R8-0865,FSL R8-0865,22,Bovine,14/03/2008,NA,CU-71,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),2,16;32;64,S,8,8;16;32,S,32,8;16;32,R,2,8;16;32,S,8,2;4;8,R,64,1;2;4,R,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,74,48,41,38,31,25,4899304,4889608,4877689,4860702,4736344,4508617,74,719839,4899304,52.02,216170,107520,7,15,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539764,PRJNA756552,SAMN20884436,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,BOV_KENT_16_02-13-08_R8-0838,FSL R8-0838,16,Bovine,13/02/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,16,8;16;32,I,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.25,2;4,S,32,256;512,S,4,4;8;16,S,81,55,44,41,33,26,4730915,4722014,4699197,4678860,4538892,4292998,81,408569,4730915,52.13,218883,108677,9,16,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539765,PRJNA756552,SAMN20884435,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_16_11-11-08_R8-2848,FSL R8-2848,16,Farm environment,11/11/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,89,60,46,42,38,25,4729214,4719228,4688468,4657747,4578458,4064975,89,642510,4729214,52.13,247655,75979,7,17,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539766,PRJNA756552,SAMN20884434,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_19_04-28-08_R8-0917,FSL R8-0917,19,Farm environment,28/04/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,1.5,16;32;64,S,2,16;32,S,8,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,62,38,28,27,25,19,4729865,4720379,4700458,4695154,4661029,4453342,62,745842,4729865,52.14,265786,218892,5,10,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539767,PRJNA756552,SAMN20884433,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_42_11-15-07_R6-0935,FSL R6-0935,42,Farm environment,15/11/2007,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.25,2;4,S,128,256;512,S,4,4;8;16,S,70,40,30,29,27,22,4730349,4719539,4699681,4694377,4660252,4483034,70,745842,4730349,52.14,228095,148690,6,12,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539768,PRJNA756552,SAMN20884432,340188,Salmonella enterica subsp. enterica serovar Cerro,NA,ENV_CERO_62_07-09-09_R8-4030,FSL R8-4030,62,Farm environment,09/07/2009,NA,CU-213,Cerro,Cerro,Cerro,Cerro,Cerro,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,102,68,56,50,40,27,4675437,4663229,4641006,4594095,4412385,3942224,102,321836,4675437,52.22,142832,77235,10,21,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539769,PRJNA756552,SAMN20884431,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,ENV_TCOP_25_04-01-08_R8-0898,FSL R8-0898,25,Farm environment,01/04/2008,NA,CU-104,Typhimurium Copenhagen,Typhimurium O5- (Typhimurium Copenhagen),Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),2,16;32;64,S,8,8;16;32,S,32,8;16;32,R,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,64,16;32;64,R,2,16;32,S,64,32;64,R,0.25,2;4,S,256,256;512,R,32,4;8;16,R,250,189,145,122,69,29,5140596,5110373,5012804,4854356,3941014,2520250,250,192294,5140596,52.13,48208,25917,31,66,0,f__Enterobacteriaceae (UID5139),100,0.22
SRR15539770,PRJNA756552,SAMN20884430,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_11_07-18-08_R8-1626,FSL R8-1626,11,Farm environment,18/07/2008,NA,CU-175,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,99,72,58,55,48,31,4808866,4801032,4769773,4750361,4625428,4040237,99,278695,4808866,52.11,140734,74442,12,24,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539771,PRJNA756552,SAMN20884403,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,ENV_TYPH_25_10-19-07_R6-0792,FSL R6-0792,25,Farm environment,19/10/2007,NA,CU-67,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),1,16;32;64,S,4,8;16;32,S,8,8;16;32,S,32,8;16;32,R,4,2;4;8,I,0.25,1;2;4,S,32,8;16;32,R,0.06,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,1,16;32;64,S,8,16;32,S,8,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,74,51,43,40,33,27,4851358,4842825,4827281,4808778,4693174,4453303,74,453548,4851358,52.12,207869,91019,8,16,0,f__Enterobacteriaceae (UID5139),100,0.07
SRR15539772,PRJNA756552,SAMN20884429,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_01_10-02-07_R6-0938,FSL R6-0938,1,Farm environment,02/10/2007,NA,CU-175,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),2,16;32;64,S,8,8;16;32,S,32,8;16;32,R,4,8;16;32,S,8,2;4;8,R,64,1;2;4,R,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,1,4;8;16,S,77,48,41,38,33,23,4850655,4843199,4825590,4803603,4719843,4361896,77,700697,4850655,52.11,217800,106784,7,15,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539773,PRJNA756552,SAMN20884428,340188,Salmonella enterica subsp. enterica serovar Cerro,NA,ENV_CERO_62_09-03-08_R8-2026,FSL R8-2026,62,Farm environment,03/09/2008,NA,CU-213,Cerro,Cerro,Cerro,Cerro,Cerro,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,71,44,35,30,29,22,4672263,4663402,4647992,4608757,4589287,4313259,71,622912,4672263,52.22,222643,139702,7,13,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539774,PRJNA756552,SAMN20884427,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_11_10-31-07_R6-0801,FSL R6-0801,11,Farm environment,31/10/2007,NA,CU-175,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,149,112,91,79,55,36,4809756,4798129,4754235,4672649,4251500,3554767,149,244894,4809756,52.1,76243,49192,18,38,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539775,PRJNA756552,SAMN20884426,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,BOV_KENT_19_11-19-07_R6-0966,FSL R6-0966,19,Bovine,19/11/2007,NA,PFGE not performed,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,69,42,32,31,28,21,4730371,4719683,4699254,4693950,4645433,4392324,69,514968,4730371,52.14,244893,157741,7,12,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539776,PRJNA756552,SAMN20884425,108619,Salmonella enterica subsp. enterica serovar Newport,NA,ENV_NEWP_62_12-11-08_R8-3137,FSL R8-3137,62,Farm environment,11/12/2008,NA,CU-121,Newport,Newport,Newport|Bardo|Ferruch|Kottbus,Newport,Newport,No (Not Applicable),1,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,16,1;2;4,R,32,8;16;32,R,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,64,16;32;64,R,2,16;32,S,64,32;64,R,0.12,2;4,S,256,256;512,R,32,4;8;16,R,153,120,88,78,59,34,4930094,4917614,4843389,4774777,4431001,3546107,153,220947,4930094,52.16,85535,45202,19,38,0,f__Enterobacteriaceae (UID5139),100,0.37
SRR15539777,PRJNA756552,SAMN20884424,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,BOV_TYPH_22_01-18-08_R8-0228,FSL R8-0228,22,Bovine,18/01/2008,NA,CU-71,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),4,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,16,8;16;32,I,0.03,0.06;0.12 - 0.5;1,S,1,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,128,256;512,S,32,4;8;16,R,111,82,68,59,46,30,4747370,4735941,4706084,4646627,4414135,3807211,111,388920,4747370,52.18,107874,58516,12,26,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539778,PRJNA756552,SAMN20884423,58712,Salmonella enterica subsp. enterica serovar Anatum,NA,BOV_ANAT_39_02-21-08_R8-0842,FSL R8-0842,39,Bovine,21/02/2008,NA,CU-424,Anatum,Anatum,Anatum|Hayindogo,Anatum,Anatum,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.25,2;4,S,32,256;512,S,4,4;8;16,S,175,137,107,98,65,28,4681691,4665820,4588289,4517409,3957687,2677605,175,264757,4681691,52.2,59325,31253,22,50,0,f__Enterobacteriaceae (UID5139),99.9,0.04
SRR15539779,PRJNA756552,SAMN20884422,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,ENV_TYPH_25_10-19-07_R6-0794,FSL R6-0794,25,Farm environment,19/10/2007,NA,CU-67,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),1,16;32;64,S,4,8;16;32,S,8,8;16;32,S,32,8;16;32,R,4,2;4;8,I,0.25,1;2;4,S,32,8;16;32,R,0.12,0.06;0.12 - 0.5;1,I,0.25,4;8;16,S,0.75,16;32;64,S,8,16;32,S,8,32;64,S,0.12,2;4,S,16,256;512,S,8,4;8;16,I,99,77,67,62,47,32,4853051,4844671,4824744,4795243,4541207,3921463,99,275479,4853051,52.11,126962,61549,13,27,0,f__Enterobacteriaceae (UID5139),100,0.07
SRR15539780,PRJNA756552,SAMN20884421,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,BOV_MELA_01_10-30-07_R6-0802,FSL R6-0802,1,Bovine,30/10/2007,NA,PFGE not performed,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,0.75,16;32;64,S,4,16;32,S,4,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,59,31,25,24,22,17,4808087,4800085,4787396,4781112,4749151,4567265,59,711957,4808087,52.12,336481,215834,5,9,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539781,PRJNA756552,SAMN20884420,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,BOV_TYPH_25_11-20-07_R6-0978,FSL R6-0978,25,Bovine,20/11/2007,NA,CU-67,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),1,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,8,1;2;4,R,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,93,70,61,54,45,33,4953592,4944348,4925259,4877945,4715389,4291081,93,292064,4953592,52.07,143284,74620,11,25,0,f__Enterobacteriaceae (UID5139),100,0.07
